8.863997895991805365e+01,8.835386817194245168e+01,7.209380961581078259e-03
7.428793797967477985e+01,1.030595984979109261e+02,6.145428466554708584e-03
9.200572333949632764e+01,8.690683610993093566e+01,4.631454616585919601e-03
8.715945120066236029e+01,5.673580244056069688e+01,3.170123743344258060e-03
6.408884484884126209e+01,6.027804162808061506e+01,2.925595839936434659e-03
8.356178273519454081e+01,3.807043325378388943e+01,2.317210202209007020e-03
6.809088724491896016e+01,5.071322400134080510e+01,2.318704793446789598e-03
5.053453964702883638e+01,3.663354830322099076e+01,1.658505248956797240e-03
3.244384618815087151e+01,2.953901420635155262e+01,1.755153583284189359e-03
3.457430654253722224e+01,2.852045360091107540e+01,1.529694055420995112e-03
4.674691658992657750e+01,3.487925258148924001e+01,1.006935506115963193e-03
